case_id,score,recon,kl,y_true
2000000000_00001,0.3783435,0.33115965,0.011795963,0
2000033450_00001,0.38984847,0.32176745,0.017020252,0
2000033453_00001,0.12838225,0.097715035,0.007666804,0
2000033454_00001,1.1888295,1.139238,0.012397875,0
2000033455_00001,0.3791059,0.33998632,0.009779894,0
2000033457_00001,0.5133299,0.47825664,0.008768319,0
2000033457_00002,0.9440655,0.90899223,0.008768319,0
2000033458_00001,0.3788805,0.34493825,0.00848556,0
2000033458_00002,0.19945176,0.16550952,0.00848556,0
2000033458_00003,2.5557508,2.4867816,0.01724234,0
2000033459_00001,0.87361366,0.7699432,0.025917623,0
2000033460_00001,0.19374044,0.16003807,0.008425593,0
2000033464_00001,0.14531116,0.11221286,0.008274577,0
2000033464_00002,0.1839502,0.15085162,0.008274646,0
2000033468_00001,0.16495189,0.1291623,0.0089474,0
2000033468_00002,0.33027002,0.2944804,0.0089474,0
2000033468_00003,0.19164503,0.15585543,0.0089474,0
2000033468_00004,0.22013453,0.18434492,0.0089474,0
2000033471_00001,0.3847908,0.35569665,0.007273538,0
2000033472_00001,1.080085,1.0411417,0.009735812,0
2000033473_00001,0.108711846,0.062163353,0.011637123,0
2000033474_00001,0.7418231,0.5998147,0.03550209,0
2000033475_00001,6.813798,0.59837645,1.5538554,0
2000033476_00001,0.24086455,0.2192125,0.0054130116,0
2000033477_00001,0.7113428,0.6734082,0.009483647,0
2000033477_00002,0.62466496,0.58673036,0.009483647,0
2000033478_00001,0.30374926,0.27416924,0.007395009,0
2000033479_00001,0.3024345,0.27279213,0.0074105943,0
2000033479_00002,0.31650946,0.28764156,0.0072169774,0
2000033480_00001,0.24177608,0.16409615,0.019419981,0
2000033481_00001,0.23128405,0.2057489,0.0063837897,0
2000033483_00001,0.34782305,0.3226596,0.0062908637,0
2000033484_00001,0.17575511,0.13399334,0.010440441,0
2000033484_00002,0.11186856,0.0701068,0.010440441,0
2000033484_00003,0.11063247,0.06887071,0.010440441,0
2000033484_00004,0.09443113,0.03850062,0.0139826285,0
2000033484_00005,0.136041,0.09427924,0.010440441,0
2000033486_00001,2.5335984,0.47642967,0.5142922,0
2000033487_00001,0.29455847,0.2662894,0.0070672613,0
2000033487_00002,1.7871851,1.7466143,0.010142671,0
2000033488_00001,0.26877972,0.24424237,0.006134342,0
2000033488_00002,0.12218885,0.09782932,0.006089882,0
2000033489_00001,0.8052654,0.7702922,0.008743299,0
2000033489_00002,0.7029498,0.6679766,0.008743299,0
2000033490_00001,0.25458091,0.22612077,0.0071150344,0
2000033490_00002,0.41095093,0.38249078,0.0071150344,0
2000033491_00001,1.0759985,1.0354842,0.010128598,0
2000033492_00001,0.08246825,0.05491681,0.0068878597,0
2000033494_00001,0.40441313,0.30402663,0.025096625,0
2000033494_00002,0.37440607,0.27401957,0.025096625,0
2000033494_00003,1.2538323,1.1534458,0.025096625,0
2000033496_00001,6.6684427,0.3436279,1.5812037,0
